#
#03005  Lerwick Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  239.0  10635  -55.8  -68.2     20   0.02    285     44  327.1  327.2  327.1
  217.0  11250  -53.7  -74.7      6   0.01    288     35  339.6  339.6  339.6
  205.0  11613  -55.4  -78.1      4   0.00    290     29  342.4  342.5  342.4
  203.0  11675  -55.7  -78.7      4   0.00    288     30  342.9  343.0  342.9
  200.0  11770  -54.9  -78.9      4   0.00    285     31  345.7  345.7  345.7
  198.0  11834  -54.4  -79.0      3   0.00    280     30  347.5  347.5  347.5
  194.0  11965  -53.3  -79.3      3   0.00    284     30  351.2  351.3  351.2
  183.0  12338  -53.8  -80.5      2   0.00    295     30  356.3  356.3  356.3
  169.0  12847  -54.6  -82.2      2   0.00    285     27  363.2  363.2  363.2
  165.0  13001  -54.8  -82.7      2   0.00    300     28  365.4  365.4  365.4
  155.0  13400  -55.4  -84.0      2   0.00    295     26  370.9  370.9  370.9
  150.0  13610  -55.7  -84.7      2   0.00    305     25  373.9  373.9  373.9
  149.0  13652  -55.7  -84.8      2   0.00    305     25  374.5  374.6  374.5
  138.0  14140  -56.2  -86.0      1   0.00    285     26  381.9  381.9  381.9
  134.0  14326  -56.5  -86.4      1   0.00    290     33  384.8  384.8  384.8
  133.0  14374  -56.5  -86.5      1   0.00    293     31  385.6  385.6  385.6
  129.0  14568  -56.0  -86.0      1   0.00    305     25  389.9  389.9  389.9
  127.0  14667  -55.7  -85.7      1   0.00    302     20  392.1  392.1  392.1
  126.0  14717  -56.0  -85.8      1   0.00    300     18  392.4  392.4  392.4
  123.0  14870  -57.1  -86.1      1   0.00    285     23  393.2  393.2  393.2
  120.0  15027  -56.9  -86.3      1   0.00    290     23  396.4  396.4  396.4
  115.0  15296  -56.4  -86.8      1   0.00    280     31  402.0  402.0  402.0
  113.0  15407  -56.3  -86.9      1   0.00    290     35  404.4  404.4  404.4
  111.0  15521  -56.1  -87.1      1   0.00    297     29  406.8  406.8  406.8
  107.0  15753  -57.1  -87.5      1   0.00    310     18  409.1  409.1  409.1
  106.0  15812  -57.4  -87.7      1   0.00    305     15  409.7  409.7  409.7
  104.0  15933  -57.9  -87.9      1   0.00    290     18  410.9  411.0  410.9
  100.0  16180  -57.3  -88.3      1   0.00    295     19  416.7  416.8  416.7
